,x,y,z,node,line_id,point_id,degree,cc,vol_cc,avg_PK_Of_element,element_connectivity,folder_name
216,6.136,8.112,3.0,143,189,0,1,40,2.39034,2.5,0.4,TCDD1nM4hr1_Subset
217,8.84,7.488,3.0,144,188,0,1,29,5.49994,2.0,0.5,TCDD1nM4hr1_Subset
218,8.424,0.416,3.0,145,187,2,1,65,0.09734,1.0,1.0,TCDD1nM4hr1_Subset
219,8.216,0.416,3.0,146,187,0,1,65,0.09734,1.0,1.0,TCDD1nM4hr1_Subset
220,4.784,41.288,2.5,147,70,10,1,51,0.61651,2.0,0.5,TCDD1nM4hr1_Subset
221,9.464,33.488,2.5,148,186,0,1,22,10.12918,2.0,0.5,TCDD1nM4hr1_Subset
222,8.554,31.798,2.375,149,60,4,4,22,10.12918,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
223,8.554,31.798,2.375,149,146,4,4,22,10.12918,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
224,8.554,31.798,2.375,149,184,4,4,22,10.12918,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
225,8.554,31.798,2.375,149,185,4,4,22,10.12918,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
226,4.992,31.824,2.5,150,183,3,1,19,12.67635,2.0,0.5,TCDD1nM4hr1_Subset
227,4.8707,31.3907,2.3333,151,180,3,3,19,12.67635,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
228,4.8707,31.3907,2.3333,151,182,3,3,19,12.67635,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
229,4.8707,31.3907,2.3333,151,183,3,3,19,12.67635,2.0,0.5,TCDD1nM4hr1_Subset
230,4.368,30.992,2.5,152,145,3,3,19,12.67635,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
231,4.368,30.992,2.5,152,180,3,3,19,12.67635,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
232,4.368,30.992,2.5,152,181,3,3,19,12.67635,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
233,4.992,30.472,2.5,153,138,15,1,53,1.9631,2.0,0.5,TCDD1nM4hr1_Subset
234,8.84,30.056,2.5,154,178,0,3,22,10.12918,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
235,8.84,30.056,2.5,154,179,0,3,22,10.12918,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
236,8.84,30.056,2.5,154,278,0,3,22,10.12918,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
237,7.124,29.7267,2.25,155,141,0,3,52,0.63814,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
238,7.124,29.7267,2.25,155,141,0,3,52,0.63814,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
239,7.124,29.7267,2.25,155,177,0,3,52,0.63814,2.0,0.5,TCDD1nM4hr1_Subset
240,10.0187,28.1147,2.3333,156,53,10,3,42,0.86528,2.0,0.5,TCDD1nM4hr1_Subset
241,10.0187,28.1147,2.3333,156,136,10,3,42,0.86528,2.0,0.5,TCDD1nM4hr1_Subset
242,10.0187,28.1147,2.3333,156,176,10,3,42,0.86528,2.0,0.5,TCDD1nM4hr1_Subset
243,2.808,26.624,2.5,157,175,0,1,19,12.67635,2.5,0.4,TCDD1nM4hr1_Subset
244,2.912,26.2674,2.1429,158,41,2,3,19,12.67635,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
245,2.912,26.2674,2.1429,158,44,2,3,19,12.67635,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
246,2.912,26.2674,2.1429,158,174,2,3,19,12.67635,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
247,8.424,24.128,2.5,159,124,2,1,68,0.09194,1.0,1.0,TCDD1nM4hr1_Subset
248,7.696,24.128,2.5,160,173,0,1,43,1.09782,2.0,0.5,TCDD1nM4hr1_Subset
249,1.456,24.024,2.5,161,172,3,1,54,0.4056,1.0,1.0,TCDD1nM4hr1_Subset
250,1.144,23.712,2.5,162,172,0,1,54,0.4056,1.0,1.0,TCDD1nM4hr1_Subset
251,3.432,23.504,2.5,163,129,15,1,19,12.67635,2.0,0.5,TCDD1nM4hr1_Subset
252,10.4,22.776,2.5,164,122,2,1,70,1.53046,2.0,0.5,TCDD1nM4hr1_Subset
253,4.68,22.672,2.5,165,125,19,1,69,0.68682,1.0,1.0,TCDD1nM4hr1_Subset
254,5.304,22.568,2.5,166,171,3,1,57,0.8112,2.0,0.5,TCDD1nM4hr1_Subset
255,5.2693,22.1867,2.3333,167,117,3,3,57,0.8112,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
256,5.2693,22.1867,2.3333,167,170,3,3,57,0.8112,2.0,0.5,TCDD1nM4hr1_Subset
257,5.2693,22.1867,2.3333,167,171,3,3,57,0.8112,2.0,0.5,TCDD1nM4hr1_Subset
258,2.6,21.944,2.5,168,273,21,1,58,1.11405,1.0,1.0,TCDD1nM4hr1_Subset
259,8.944,21.84,2.5,169,37,11,1,72,0.37856,1.0,1.0,TCDD1nM4hr1_Subset
260,7.904,20.592,2.5,170,169,2,1,74,0.70304,2.0,0.5,TCDD1nM4hr1_Subset
261,8.112,20.488,2.5,171,114,6,3,74,0.70304,2.0,0.5,TCDD1nM4hr1_Subset
262,8.112,20.488,2.5,171,167,6,3,74,0.70304,2.0,0.5,TCDD1nM4hr1_Subset
263,8.112,20.488,2.5,171,169,6,3,74,0.70304,2.0,0.5,TCDD1nM4hr1_Subset
264,5.2,19.864,2.5,172,112,5,3,38,4.74822,2.0,0.5,TCDD1nM4hr1_Subset
265,5.2,19.864,2.5,172,166,5,3,38,4.74822,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
266,5.2,19.864,2.5,172,168,5,3,38,4.74822,2.0,0.5,TCDD1nM4hr1_Subset
267,8.424,19.448,2.5,173,167,0,1,74,0.70304,2.0,0.5,TCDD1nM4hr1_Subset
268,4.784,19.448,2.5,174,109,5,3,38,4.74822,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
269,4.784,19.448,2.5,174,111,5,3,38,4.74822,2.0,0.5,TCDD1nM4hr1_Subset
270,4.784,19.448,2.5,174,166,5,3,38,4.74822,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
271,8.424,18.824,2.5,175,101,13,1,59,0.52998,1.0,1.0,TCDD1nM4hr1_Subset
272,7.488,18.824,2.5,176,27,11,1,76,0.50835,1.0,1.0,TCDD1nM4hr1_Subset
273,4.7667,18.772,2.0,177,106,9,3,38,4.74822,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
